INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
      2438  JUN 22,1998  REGISTRATION
      2440  JUN 22,1998  REGISTRATION
      2441  JUN 29,1998  PHARMACY DATA MANAGEMENT
      2442  JUN 30,1998  RADIOLOGY/NUCLEAR MEDICINE
      2443  JUN 30,1998  SCHEDULING
      2444  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2445  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2446  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2447  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2448  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2449  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2450  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2451  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2452  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2453  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2454  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2455  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2456  JUL  1,1998  PCE PATIENT CARE ENCOUNTER
      2457  JUL  1,1998  MENTAL HEALTH
      2458  JUL  1,1998  AUTOMATED INFO COLLECTION SYS
      2460  JUL  1,1998  REGISTRATION
      2461  JUL  1,1998  REGISTRATION
      2462  JUL  1,1998  REGISTRATION
      2463  JUL  1,1998  REGISTRATION
      2464  JUL  1,1998  REGISTRATION
      2465  JUL  1,1998  REGISTRATION
      2467  JUL  6,1998  ORDER ENTRY/RESULTS REPORTING
      2469  JUL  7,1998  KERNEL
      2474  JUL  9,1998  PHARMACY DATA MANAGEMENT
      2476  JUL  9,1998  OUTPATIENT PHARMACY
      2477  JUL 14,1998  OUTPATIENT PHARMACY
      2479  JUL 14,1998  RADIOLOGY/NUCLEAR MEDICINE
      2480  JUL 14,1998  RADIOLOGY/NUCLEAR MEDICINE
      2481  JUL 14,1998  RADIOLOGY/NUCLEAR MEDICINE
      2482  JUL 14,1998  RADIOLOGY/NUCLEAR MEDICINE
      2483  JUL 15,1998  REGISTRATION
      2484  JUL 15,1998  RADIOLOGY/NUCLEAR MEDICINE
      2485  JUL 17,1998  FEE BASIS
      2486  JUL 20,1998  INCOME VERIFICATION MATCH
      2487  JUL 28,1998  MAILMAN
      2488  AUG  4,1998  HEALTH LEVEL SEVEN
      2491  AUG 10,1998  SURGERY
      2492  AUG 17,1998  REGISTRATION
      2494  AUG 11,1998  PHARMACY DATA MANAGEMENT
      2495  AUG 11,1998  KERNEL
      2496  AUG 11,1998  MAILMAN
      2497  AUG 12,1998  PHARMACY DATA MANAGEMENT
      2498  AUG 12,1998  CONTROLLED SUBSTANCES
      2499  AUG 12,1998  INPATIENT MEDICATIONS
      2500  AUG 12,1998  KERNEL
      2501  AUG 17,1998  SCHEDULING
      2502  AUG 18,1998  PCE PATIENT CARE ENCOUNTER
      2503  AUG 18,1998  LAB SERVICE
      2504  AUG 19,1998  REGISTRATION
      2505  AUG 20,1998  CONTROLLED SUBSTANCES
      2507  AUG 20,1998  HEALTH LEVEL SEVEN
      2508  AUG 20,1998  KERNEL
      2509  AUG 24,1998  KERNEL
      2510  AUG 24,1998  OUTPATIENT PHARMACY
      2514  AUG 24,1998  PHARMACY DATA MANAGEMENT
      2515  AUG 24,1998  AUTO REPLENISHMENT/WARD STOCK
      2516  AUG 24,1998  REGISTRATION
      2517  AUG 24,1998  REGISTRATION
      2518  AUG 25,1998  NATIONAL DRUG FILE
      2519  AUG 30,1998  DRUG ACCOUNTABILITY
      2520  AUG 30,1998  DRUG ACCOUNTABILITY
      2521  AUG 30,1998  DRUG ACCOUNTABILITY
      2522  AUG 30,1998  LAB SERVICE
      2523  AUG 30,1998  LAB SERVICE
      2524  AUG 30,1998  LAB SERVICE
      2526  SEP  3,1998  IFCAP
      2527  SEP  1,1998  NATIONAL DRUG FILE
      2528  SEP  3,1998  PROSTHETICS
      2529  SEP  3,1998  PROSTHETICS
      2530  SEP 15,1998  INCOME VERIFICATION MATCH
      2531  SEP  4,1998  NATIONAL DRUG FILE
      2532  SEP  4,1998  TOOLKIT
      2533  SEP  8,1998  KERNEL
      2534  SEP  8,1998  OUTPATIENT PHARMACY
      2535  SEP  8,1998  MENTAL HEALTH
      2536  SEP  9,1998  PAID
      2537  SEP 15,1998  INTEGRATED BILLING
      2538  SEP 15,1998  INTEGRATED BILLING
      2539  SEP 21,1998  KERNEL
      2540  SEP 21,1998  VA FILEMAN
      2541  SEP 21,1998  KERNEL
      2542  SEP 21,1998  KERNEL
      2543  OCT  7,1998  VA FILEMAN
      2544  OCT  8,1998  INCOME VERIFICATION MATCH
      2545  APR 26,2005  ADVERSE REACTION TRACKING
      2546  SEP 22,1998  SCHEDULING
      2547  SEP 19,2001  CLINICAL REMINDERS
      2548  SEP 22,1998  SCHEDULING
      2552  SEP 22,1998  SCHEDULING
      2553  SEP 22,1998  SCHEDULING
      2554  SEP 22,1998  SCHEDULING
      2555  SEP 22,1998  SCHEDULING
      2556  SEP 22,1998  SCHEDULING
      2557  SEP 22,1998  SCHEDULING
      2558  SEP 22,1998  SCHEDULING
      2559  SEP 22,1998  SCHEDULING
      2560  SEP 22,1998  SCHEDULING
      2561  SEP 22,1998  SCHEDULING
      2563  SEP 23,1998  CLINICAL INFO RESOURCE NETWORK
      2564  SEP 23,1998  SCHEDULING
      2565  SEP 23,1998  SCHEDULING
      2566  SEP 23,1998  SCHEDULING
      2567  SEP 23,1998  SCHEDULING
      2568  SEP 23,1998  SCHEDULING
      2569  SEP 23,1998  SCHEDULING
      2570  SEP 23,1998  SCHEDULING
      2571  SEP 23,1998  SCHEDULING
      2572  SEP 23,1998  SCHEDULING
      2573  SEP 23,1998  SCHEDULING
      2574  SEP 23,1998  NATIONAL DRUG FILE
      2575  SEP 23,1998  ORDER ENTRY/RESULTS REPORTING
      2576  SEP 23,1998  ORDER ENTRY/RESULTS REPORTING
      2581  SEP 24,1998  KERNEL
      2586  SEP 25,1998  CONSULT/REQUEST TRACKING
      2588  SEP 25,1998  RADIOLOGY/NUCLEAR MEDICINE
      2589  AUG 31,2001  KERNEL
      2590  SEP 30,1998  SCHEDULING
      2592  SEP 30,1998  VA FILEMAN
      2596  OCT 27,1998  KERNEL
      2597  OCT 14,1998  PCE PATIENT CARE ENCOUNTER
      2598  OCT 14,1998  PCE PATIENT CARE ENCOUNTER
      2599  OCT 14,1998  PCE PATIENT CARE ENCOUNTER
      2600  OCT 15,1998  PCE PATIENT CARE ENCOUNTER
      2602  OCT  2,1998  VA FILEMAN
      2604  OCT  9,1998  INCOME VERIFICATION MATCH
      2605  OCT 13,1998  KERNEL
      2606  OCT 14,1998  IFCAP
      2607  OCT 14,1998  VA FILEMAN
      2608  OCT 14,1998  VA FILEMAN
      2609  OCT 14,1998  VA FILEMAN
      2610  OCT 14,1998  VA FILEMAN
      2611  NOV 20,1998  MAILMAN
      2612  OCT 18,1998  INPATIENT MEDICATIONS
      2613  OCT 18,1998  PHARMACY DATA MANAGEMENT
      2614  OCT 18,1998  PHARMACY DATA MANAGEMENT
      2615  OCT 19,1998  LIST MANAGER
      2616  OCT 19,1998  OUTPATIENT PHARMACY
      2617  OCT 19,1998  PCE PATIENT CARE ENCOUNTER
      2619  OCT 21,1998  PCE PATIENT CARE ENCOUNTER
      2620  OCT 21,1998  PCE PATIENT CARE ENCOUNTER
      2622  OCT 20,1998  KERNEL
      2623  OCT 21,1998  PCE PATIENT CARE ENCOUNTER
      2624  OCT 23,1998  REGISTRATION
      2627  NOV 24,1998  PCE PATIENT CARE ENCOUNTER
      2628  NOV  6,1998  ADVERSE REACTION TRACKING
      2629  NOV  9,1998  PHARMACY DATA MANAGEMENT
      2630  OCT 28,1998  RADIOLOGY/NUCLEAR MEDICINE
      2631  OCT 27,1998  VA FILEMAN
      2632  OCT 27,1998  RADIOLOGY/NUCLEAR MEDICINE
      2633  OCT 27,1998  RADIOLOGY/NUCLEAR MEDICINE
      2635  OCT 27,1998  LAB SERVICE
      2636  OCT 27,1998  LAB SERVICE
      2638  OCT 29,1998  ORDER ENTRY/RESULTS REPORTING
      2640  OCT 29,1998  CLINICAL INFO RESOURCE NETWORK
      2641  NOV  9,1998  KERNEL
      2642  NOV 12,1998  VA FILEMAN
      2643  NOV  3,1998  REGISTRATION
      2644  APR 16,1999  PROBLEM LIST
      2647  NOV 18,1998  HEALTH SUMMARY
      2648  NOV 19,1998  VA FILEMAN
      2649  NOV 19,1998  VA FILEMAN
      2650  NOV 23,1998  ORDER ENTRY/RESULTS REPORTING
      2651  NOV 23,1998  ORDER ENTRY/RESULTS REPORTING
      2652  NOV 25,1998  REGISTRATION
      2653  NOV 30,1998  ORDER ENTRY/RESULTS REPORTING
      2654  NOV 30,1998  PHARMACY DATA MANAGEMENT
      2655  DEC  2,1998  REGISTRATION
      2656  DEC  3,1998  KERNEL
      2657  SEP 15,1992  LAB SERVICE
      2658  DEC 10,1998  VA FILEMAN
      2659  DEC 10,1998  PCE PATIENT CARE ENCOUNTER
      2660  DEC 10,1998  REGISTRATION
      2661  DEC 11,1998  VA FILEMAN
      2662  DEC 11,1998  NETWORK HEALTH EXCHANGE
      2663  DEC 17,1998  REGISTRATION
      2664  DEC 24,1998  REGISTRATION
      2665  DEC 17,1998  FEE BASIS
      2666  DEC 17,1998  HEALTH SUMMARY
      2667  DEC 17,1998  LAB SERVICE
      2670  DEC 17,1998  SURGERY
      2671  DEC 17,1998  TEXT INTEGRATION UTILITIES
      2672  DEC 15,1998  ADVERSE REACTION TRACKING
      2673  DEC 16,1998  PCE PATIENT CARE ENCOUNTER
      2675  AUG 13,2003  SCHEDULING
      2676  DEC 22,1998  ORDER ENTRY/RESULTS REPORTING
      2679  DEC 30,1998  RADIOLOGY/NUCLEAR MEDICINE
      2681  DEC 30,1998  LAB SERVICE
      2683  DEC 30,1998  RADIOLOGY/NUCLEAR MEDICINE
      2684  DEC 31,1998  LIST MANAGER
      2685  DEC 31,1998  TOOLKIT
      2686  DEC 31,1998  TOOLKIT
      2687  DEC 31,1998  CONSULT/REQUEST TRACKING
      2688  DEC 31,1998  LAB SERVICE
      2689  MAR  5,2003  KERNEL
      2690  JAN  2,1999  ORDER ENTRY/RESULTS REPORTING
      2692  JAN  2,1999  ORDER ENTRY/RESULTS REPORTING
      2693  JAN  2,1999  TEXT INTEGRATION UTILITIES
      2694  JAN  2,1999  TEXT INTEGRATION UTILITIES
      2695  JAN  4,1999  VA FILEMAN
      2696  JAN  6,1999  VA FILEMAN
      2697  JAN  6,1999  MENTAL HEALTH
      2698  JAN 11,1999  ORDER ENTRY/RESULTS REPORTING
      2699  JAN 11,1999  TEXT INTEGRATION UTILITIES
      2700  JAN 11,1999  TEXT INTEGRATION UTILITIES
      2701  JAN 12,1999  MASTER PATIENT INDEX VISTA
      2702  JAN 12,1999  MASTER PATIENT INDEX VISTA
      2703  JAN 12,1999  MASTER PATIENT INDEX VISTA
      2706  JAN 13,1999  MASTER PATIENT INDEX VISTA
      2707  JAN 13,1999  MASTER PATIENT INDEX VISTA
      2708  JAN 13,1999  MASTER PATIENT INDEX VISTA
      2709  APR 26,1999  KERNEL
      2710  JAN 13,1999  CLINICAL INFO RESOURCE NETWORK
      2711  APR 28,1999  DRUG ACCOUNTABILITY
      2712  JAN 14,1999  AUTHORIZATION/SUBSCRIPTION
      2713  JAN 14,1999  ORDER ENTRY/RESULTS REPORTING
      2714  JAN 19,1999  CLINICAL INFO RESOURCE NETWORK
      2716  JAN 19,1999  REGISTRATION
      2718  JAN 20,1999  KERNEL
      2719  JAN 20,1999  KERNEL
      2722  JAN 21,1999  PCE PATIENT CARE ENCOUNTER
      2723  JAN 25,1999  MAILMAN
      2724  JAN 26,1999  LAB SERVICE
      2726  JAN 26,1999  PROBLEM LIST
      2727  JAN 26,1999  PROBLEM LIST
      2728  JAN 27,1999  MAILMAN
      2729  JAN 27,1999  MAILMAN
      2730  JAN 27,1999  MAILMAN
      2731  JAN 27,1999  MAILMAN
      2732  JAN 27,1999  MAILMAN
      2733  JAN 27,1999  MAILMAN
      2734  JAN 27,1999  MAILMAN
      2735  JAN 27,1999  MAILMAN
      2736  JAN 27,1999  MAILMAN
      2737  JAN 27,1999  MAILMAN
      2738  JAN 28,1999  ADVERSE REACTION TRACKING
      2739  JAN 28,1999  CONSULT/REQUEST TRACKING
      2740  JAN 28,1999  CONSULT/REQUEST TRACKING
      2741  JAN 28,1999  PROBLEM LIST
      2742  JAN 28,1999  PROBLEM LIST
      2743  JAN 28,1999  PROBLEM LIST
      2746  FEB  3,1999  CLINICAL INFO RESOURCE NETWORK
      2747  JUL 28,2003  ORDER ENTRY/RESULTS REPORTING
      2748  FEB  4,1999  MASTER PATIENT INDEX VISTA
      2750  FEB  8,1999  HEALTH SUMMARY
      2751  MAR 15,1999  REGISTRATION
      2752  MAR 15,1999  VA FILEMAN
      2755  FEB 17,1999  REGISTRATION
      2756  FEB 17,1999  REGISTRATION
      2757  FEB 18,1999  CLINICAL PROCEDURES
      2758  FEB 22,1999  REGISTRATION
      2761  FEB 26,1999  ORDER ENTRY/RESULTS REPORTING
      2762  MAR  1,1999  VA FILEMAN
      2763  MAR  1,1999  KERNEL
      2764  MAR  2,1999  ORDER ENTRY/RESULTS REPORTING
      2766  MAR  5,1999  LAB SERVICE
      2767  MAR  5,1999  LAB SERVICE
      2768  MAR  5,1999  LAB SERVICE
      2769  MAR  5,1999  LAB SERVICE
      2770  MAR  5,1999  HEALTH SUMMARY
      2771  MAR  5,1999  HEALTH SUMMARY
      2772  MAR  5,1999  WOMEN'S HEALTH
      2773  MAR  9,1999  HEALTH LEVEL SEVEN
      2774  MAR  9,1999  MAILMAN
      2777  MAR 19,1999  KERNEL
      2778  MAR 19,1999  CLINICAL INFO RESOURCE NETWORK
      2779  MAR 22,1999  REGISTRATION
      2780  MAR 23,1999  INTEGRATED BILLING
      2781  MAR 23,1999  INTEGRATED BILLING
      2782  MAR 23,1999  INTEGRATED BILLING
      2784  MAR 23,1999  REGISTRATION
      2786  MAR 24,1999  INTEGRATED BILLING
      2787  MAR 24,1999  REGISTRATION
      2788  MAR 25,1999  KERNEL
      2789  MAR 25,1999  PHARMACY DATA MANAGEMENT
      2790  MAR 25,1999  KERNEL
      2795  APR 23,1999  SCHEDULING
      2796  APR  6,1999  CLINICAL INFO RESOURCE NETWORK
      2801  APR 16,1999  CONSULT/REQUEST TRACKING
      2802  APR 16,1999  CONSULT/REQUEST TRACKING
      2804  DEC 21,2004  SCHEDULING
      2805  APR 28,1999  INPATIENT MEDICATIONS
      2806  APR 21,1999  RADIOLOGY/NUCLEAR MEDICINE
      2807  APR 25,1999  VA FILEMAN
      2808  APR 29,1999  DRUG ACCOUNTABILITY
      2809  APR 29,1999  DRUG ACCOUNTABILITY
      2810  APR 29,1999  SCHEDULING
      2811  APR 29,1999  SCHEDULING
      2812  APR 30,1999  TEXT INTEGRATION UTILITIES
      2813  APR 30,1999  VA FILEMAN
      2816  MAY  5,1999  CPT/HCPCS CODES
      2817  MAY 17,1999  REGISTRATION
      2818  MAY 17,1999  KERNEL
      2819  MAY 18,1999  REGISTRATION
      2820  MAY 18,1999  REGISTRATION
      2821  AUG  9,1999  VA FILEMAN
      2823  MAY 19,1999  KERNEL
      2824  MAY 24,1999  KERNEL
      2825  JUL 19,2000  HEALTH SUMMARY
      2828  MAY 25,1999  INPATIENT MEDICATIONS
      2829  MAY 25,1999  INPATIENT MEDICATIONS
      2830  MAY 25,1999  INPATIENT MEDICATIONS
      2831  JUN  1,1999  ORDER ENTRY/RESULTS REPORTING
      2832  JUN  1,1999  TEXT INTEGRATION UTILITIES
      2833  JUN  1,1999  TEXT INTEGRATION UTILITIES
      2834  JUN  1,1999  TEXT INTEGRATION UTILITIES
      2835  JUN  1,1999  ORDER ENTRY/RESULTS REPORTING
      2836  JUN  1,1999  ORDER ENTRY/RESULTS REPORTING
      2839  JUN  3,1999  TOOLKIT
      2840  JUN  4,1999  TEXT INTEGRATION UTILITIES
      2841  SEP 15,1999  PHARMACY DATA MANAGEMENT
      2842  JUN  9,1999  ORDER ENTRY/RESULTS REPORTING
      2843  JUN  9,1999  ORDER ENTRY/RESULTS REPORTING
      2844  JUN 14,1999  OUTPATIENT PHARMACY
      2845  JUN 14,1999  OUTPATIENT PHARMACY
      2846  JUN 14,1999  KERNEL
      2847  JUN 16,1999  VA FILEMAN
      2848  JUN 16,1999  SCHEDULING
      2849  JUN 18,1999  ORDER ENTRY/RESULTS REPORTING
      2851  AUG  5,2004  SCHEDULING
      2853  JUN 24,1999  INCOME VERIFICATION MATCH
      2854  JUN 24,1999  PHARMACY DATA MANAGEMENT
      2856  JUN 25,1999  MAILMAN
      2857  JUN 29,1999  KERNEL
      2858  FEB 17,2000  PHARMACY DATA MANAGEMENT
      2859  JUL 21,1999  IFCAP
      2860  JUL  7,1999  MAILMAN
      2861  JUL  7,1999  MAILMAN
      2862  JUL  7,1999  MAILMAN
      2863  JUL 12,1999  TEXT INTEGRATION UTILITIES
      2864  JUL 12,1999  TEXT INTEGRATION UTILITIES
      2865  JUL 12,1999  TEXT INTEGRATION UTILITIES
      2866  JUL 13,1999  VA FILEMAN
      2867  JUL 13,1999  VA FILEMAN
      2868  JUL 13,1999  VA FILEMAN
      2869  JUL 13,1999  VA FILEMAN
      2870  JUL 13,1999  VA FILEMAN
      2871  JUL 13,1999  VA FILEMAN
      2872  JUL 13,1999  VA FILEMAN
      2873  JUL 13,1999  VA FILEMAN
      2874  JUL 13,1999  VA FILEMAN
      2875  JUL 14,1999  MENTAL HEALTH
      2876  JUL 21,1999  TEXT INTEGRATION UTILITIES
      2877  DEC  6,1999  RADIOLOGY/NUCLEAR MEDICINE
      2878  JUL 28,1999  VA FILEMAN
      2879  JUL 28,1999  PHARMACY DATA MANAGEMENT
      2880  JUL 28,1999  PHARMACY DATA MANAGEMENT
      2882  AUG  4,1999  KERNEL
      2883  AUG 10,1999  DSS EXTRACTS
      2884  AUG 10,1999  MENTAL HEALTH
      2885  AUG 10,1999  DSS EXTRACTS
      2887  SEP 30,2003  HEALTH LEVEL SEVEN
      2888  AUG 13,1999  ONCOLOGY
      2889  AUG 16,1999  MENTAL HEALTH
      2891  AUG 19,1999  MENTAL HEALTH
      2893  AUG 19,1999  MENTAL HEALTH
      2895  AUG 19,1999  MENTAL HEALTH
      2896  JUN  4,2003  MENTAL HEALTH
      2897  AUG 25,1999  IFCAP
      2900  AUG 26,1999  HEALTH LEVEL SEVEN
      2901  AUG 31,1999  CONSULT/REQUEST TRACKING
      2902  SEP  1,1999  TEXT INTEGRATION UTILITIES
      2903  SEP  8,1999  VA FILEMAN
      2907  SEP 15,1999  INPATIENT MEDICATIONS
      2909  SEP 15,1999  PHARMACY DATA MANAGEMENT
      2910  OCT  5,1999  VA FILEMAN
      2911  JAN 13,2000  REGISTRATION
      2913  SEP 20,1999  AUTOMATED MED INFO EXCHANGE
      2914  SEP 20,1999  AUTOMATED MED INFO EXCHANGE
      2915  SEP 20,1999  AUTOMATED MED INFO EXCHANGE
      2916  SEP 20,1999  VA FILEMAN
      2919  AUG 25,2006  REGISTRATION
      2923  OCT  8,1999  PAID
      2924  OCT 12,1999  ONCOLOGY
      2925  OCT 13,1999  CONSULT/REQUEST TRACKING
      2926  OCT 13,1999  CONSULT/REQUEST TRACKING
      2927  OCT 14,1999  IMAGING
      2928  OCT 15,1999  VA FILEMAN
      2929  OCT 22,1999  NDBI
      2930  OCT 22,1999  QUASAR
      2931  OCT 22,1999  NDBI
      2932  OCT 22,1999  NDBI
      2933  OCT 22,1999  RADIOLOGY/NUCLEAR MEDICINE
      2934  OCT 22,1999  NDBI
      2935  FEB  8,2000  PHARMACY DATA MANAGEMENT
      2936  OCT 26,1999  SCHEDULING
      2937  OCT 28,1999  TEXT INTEGRATION UTILITIES
      2938  OCT 28,1999  CONSULT/REQUEST TRACKING
      2939  OCT 28,1999  KERNEL
      2941  OCT 28,1999  MASTER PATIENT INDEX VISTA
      2942  OCT 28,1999  MASTER PATIENT INDEX VISTA
      2944  OCT 29,1999  TEXT INTEGRATION UTILITIES
      2945  OCT 29,1999  INPATIENT MEDICATIONS
      2946  OCT 29,1999  PHARMACY DATA MANAGEMENT
      2947  OCT 29,1999  LAB SERVICE
      2950  APR 16,2003  LEXICON UTILITY
      2951  NOV  1,1999  LAB SERVICE
      2952  NOV  1,1999  LAB SERVICE
      2953  NOV  2,1999  SCHEDULING
      2954  NOV  4,1999  LAB SERVICE
      2955  NOV  3,1999  LAB SERVICE
      2956  NOV  3,1999  LAB SERVICE
      2957  NOV  9,1999  CONSULT/REQUEST TRACKING
      2958  NOV  9,1999  LAB SERVICE
      2959  NOV  9,1999  LAB SERVICE
      2960  NOV  9,1999  TEXT INTEGRATION UTILITIES
      2961  NOV  9,1999  HEALTH SUMMARY
      2962  NOV 10,1999  PROBLEM LIST
      2963  NOV 10,1999  KERNEL
      2964  NOV 10,1999  KERNEL
      2965  NOV 10,1999  REGISTRATION
      2966  NOV 10,1999  REGISTRATION
      2967  NOV 10,1999  HINQ
      2968  NOV 10,1999  RADIOLOGY/NUCLEAR MEDICINE
      2969  NOV 10,1999  REGISTRATION
      2970  NOV 10,1999  PROBLEM LIST
      2971  JUL 21,2003  PROBLEM LIST
      2972  NOV 10,1999  PROBLEM LIST
      2973  NOV 10,1999  PROBLEM LIST
      2974  NOV 10,1999  PROBLEM LIST
      2975  NOV 10,1999  CONSULT/REQUEST TRACKING
      2976  NOV 10,1999  ADVERSE REACTION TRACKING
      2977  NOV 12,1999  PROBLEM LIST
      2978  NOV 12,1999  PROBLEM LIST
      2979  NOV 12,1999  PROBLEM LIST
      2980  NOV 12,1999  CONSULT/REQUEST TRACKING
      2981  NOV 12,1999  CONSULT/REQUEST TRACKING
      2982  NOV 12,1999  CONSULT/REQUEST TRACKING
      2983  NOV 15,1999  LAB SERVICE
      2984  NOV 15,1999  LAB SERVICE
      2985  NOV 15,1999  LAB SERVICE
      2986  NOV 15,1999  CLINICAL PROCEDURES
      2988  NOV 19,1999  REGISTRATION
      2990  NOV 23,1999  REGISTRATION
      2991  NOV 23,1999  VA FILEMAN
      2992  NOV 23,1999  TOOLKIT
      2993  NOV 24,1999  REGISTRATION
      2994  NOV 26,1999  TEXT INTEGRATION UTILITIES
      2995  NOV 26,1999  TEXT INTEGRATION UTILITIES
      2996  NOV 26,1999  TEXT INTEGRATION UTILITIES
      2997  NOV 26,1999  TEXT INTEGRATION UTILITIES
      2998  NOV 26,1999  TEXT INTEGRATION UTILITIES
      2999  NOV 26,1999  TEXT INTEGRATION UTILITIES
      3000  NOV 26,1999  TEXT INTEGRATION UTILITIES
      3001  NOV 26,1999  TEXT INTEGRATION UTILITIES
      3002  NOV 26,1999  TEXT INTEGRATION UTILITIES
      3003  NOV 29,1999  TEXT INTEGRATION UTILITIES
      3004  NOV 30,1999  ORDER ENTRY/RESULTS REPORTING
      3005  NOV 30,1999  ORDER ENTRY/RESULTS REPORTING
      3006  NOV 30,1999  MAILMAN
      3007  DEC  2,1999  IFCAP
      3008  DEC  7,1999  AUTHORIZATION/SUBSCRIPTION
      3009  DEC  8,1999  KERNEL
      3010  DEC  8,1999  KERNEL
      3011  DEC  8,1999  RPC BROKER
      3012  DEC  8,1999  RPC BROKER
      3013  DEC 21,1999  PHARMACY DATA MANAGEMENT
      3015  JAN 12,2000  REGISTRATION
      3017  JAN 12,2000  REGISTRATION
      3018  JAN 12,2000  REGISTRATION
      3019  JAN 20,2000  REGISTRATION
      3020               REGISTRATION
      3021               REGISTRATION
      3022               REGISTRATION
      3023               REGISTRATION
      3027  JAN 31,2000  REGISTRATION
      3028  JAN 31,2000  AUTHORIZATION/SUBSCRIPTION
      3029  FEB  3,2000  REGISTRATION
      3031  APR 29,2003  RPC BROKER
      3035  MAY 29,2003  PCE PATIENT CARE ENCOUNTER
      3036  FEB 15,2000  HEALTH LEVEL SEVEN
      3037  FEB 15,2000  REGISTRATION
      3038  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3039  FEB 15,2000  TEXT INTEGRATION UTILITIES
      3040  FEB 15,2000  VA FILEMAN
      3041  FEB 16,2000  KERNEL
      3042  FEB 16,2000  CLINICAL PROCEDURES
      3043  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3044  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3045  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3046  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3047  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3048  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3049  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3050  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3051  FEB 22,2000  PCE PATIENT CARE ENCOUNTER
      3052  FEB 24,2000  NURSING SERVICE
      3053  FEB 29,2000  PAID
      3054  FEB 29,2000  PCE PATIENT CARE ENCOUNTER
      3055  MAR  1,2000  PCE PATIENT CARE ENCOUNTER
      3056  MAR  1,2000  KERNEL
      3057  MAR  6,2000  KERNEL
      3058  MAR  8,2000  TEXT INTEGRATION UTILITIES
      3059  MAR  8,2000  TEXT INTEGRATION UTILITIES
      3060  MAR  8,2000  VA FILEMAN
      3062  MAR  9,2000  TEXT INTEGRATION UTILITIES
      3063  MAR  9,2000  PCE PATIENT CARE ENCOUNTER
      3064  MAR 14,2000  OUTPATIENT PHARMACY
      3065  MAR 15,2000  KERNEL
      3066  MAR 15,2000  KERNEL
      3067  MAR 16,2000  CONSULT/REQUEST TRACKING
      3068  MAR 22,2000  HEALTH LEVEL SEVEN
      3070  MAR 22,2000  SCHEDULING
      3071  MAR 22,2000  ORDER ENTRY/RESULTS REPORTING
      3072  MAR 31,2000  MASTER PATIENT INDEX VISTA
